YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,DEST,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2019,1,1,2,NK,12889,ATL,0,0,N,0,1747,0,0,0,0,0
2019,1,1,2,NK,11298,LAS,0,0,N,0,1055,0,0,0,0,0
2019,1,1,2,NK,12889,SEA,0,0,N,0,867,0,0,0,0,0
2019,1,1,2,NK,12892,LAS,1,0,N,0,236,0,0,0,0,17
2019,1,1,2,NK,12889,DEN,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,NK,11292,LAS,1,0,N,0,628,4,0,1,0,17
2019,1,1,2,NK,12889,OAK,0,0,N,0,407,0,0,0,0,0
2019,1,1,2,NK,12889,FLL,0,0,N,0,2173,0,0,0,0,0
2019,1,1,2,NK,12889,CLE,0,0,N,0,1824,0,0,0,0,0
2019,1,1,2,NK,14747,LAS,0,0,N,0,867,0,0,0,0,0
2019,1,1,2,NK,11042,LAS,0,0,N,0,1824,0,0,0,0,0
2019,1,1,2,NK,11433,LAS,0,0,N,0,1749,0,0,0,0,0
2019,1,1,2,NK,12889,SAN,0,0,N,0,258,0,0,0,0,0
2019,1,1,2,NK,15304,LAS,0,0,N,0,1984,0,0,0,0,0
2019,1,1,2,NK,12889,TPA,0,0,N,0,1984,0,0,0,0,0
2019,1,1,2,NK,13487,LAS,0,0,N,0,1299,0,0,0,0,0
2019,1,1,2,NK,12889,MSP,0,0,N,0,1299,0,0,0,0,0
2019,1,1,2,NK,12889,DTW,0,0,N,0,1749,0,0,0,0,0
2019,1,1,2,NK,13796,LAS,0,0,N,0,407,0,0,0,0,0
2019,1,1,2,OO,12892,RNO,1,0,N,0,391,5,0,9,0,5
2019,1,1,2,OO,14570,LAX,0,0,N,0,391,0,0,0,0,0
2019,1,1,2,OO,14570,LAX,0,0,N,0,391,0,0,0,0,0
2019,1,1,2,OO,12892,RNO,1,0,N,0,391,33,0,0,0,0
2019,1,1,2,OO,14747,RNO,0,0,N,0,564,0,0,0,0,0
2019,1,1,2,OO,14570,SEA,0,0,N,0,564,0,0,0,0,0
2019,1,1,2,OO,14057,RNO,0,0,N,0,444,0,0,0,0,0
2019,1,1,2,OO,14570,SJC,0,0,N,0,188,0,0,0,0,0
2019,1,1,2,OO,14570,PDX,0,0,N,0,444,0,0,0,0,0
2019,1,1,2,OO,14831,RNO,0,0,N,0,188,0,0,0,0,0
2019,1,1,2,OO,14831,RNO,0,0,N,0,188,0,0,0,0,0
2019,1,1,2,OO,14570,SJC,0,0,N,0,188,0,0,0,0,0
2019,1,1,2,OO,14570,SLC,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,14869,RNO,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,12889,SNA,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,14869,LAS,0,0,N,0,368,0,0,0,0,0
2019,1,1,2,OO,14570,SLC,1,0,N,0,422,0,0,19,0,0
2019,1,1,2,OO,14869,RNO,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,14570,SLC,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,14869,RNO,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,12889,SNA,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,12892,LAS,0,0,N,0,236,0,0,0,0,0
2019,1,1,2,OO,14869,RNO,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,12889,SNA,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,14908,LAS,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,14570,SLC,0,0,N,0,422,0,0,0,0,0
2019,1,1,2,OO,12889,LAX,0,0,N,0,236,0,0,0,0,0
2019,1,1,2,OO,14908,LAS,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,14908,LAS,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,12889,SNA,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,14908,LAS,0,0,N,0,226,0,0,0,0,0
2019,1,1,2,OO,14771,RNO,0,0,N,0,192,0,0,0,0,0
2019,1,1,2,OO,14570,SFO,0,0,N,0,192,0,0,0,0,0
2019,1,1,2,OO,14570,SFO,0,0,N,0,192,0,0,0,0,0
2019,1,1,2,OO,14570,LAX,1,0,N,0,391,0,0,0,0,101
2019,1,1,2,OO,14771,RNO,0,0,N,0,192,0,0,0,0,0
2019,1,1,2,OO,12892,RNO,1,0,N,0,391,136,0,0,0,0
2019,1,1,2,OO,14570,LAX,0,0,N,0,391,0,0,0,0,0
2019,1,1,2,OO,12892,RNO,0,0,N,0,391,0,0,0,0,0
2019,1,1,2,OO,11525,SLC,0,0,N,0,200,0,0,0,0,0
2019,1,1,2,OO,14869,EKO,0,0,N,0,200,0,0,0,0,0
2019,1,1,2,OO,11525,SLC,0,0,N,0,200,0,0,0,0,0
2019,1,1,2,OO,14869,EKO,0,0,N,0,200,0,0,0,0,0
2019,1,1,2,AA,12889,DFW,0,0,N,0,1055,0,0,0,0,0
2019,1,1,2,AA,12889,LAX,0,0,N,0,236,0,0,0,0,0
2019,1,1,2,AA,12889,DCA,0,0,N,0,2089,0,0,0,0,0
2019,1,1,2,AA,11298,LAS,1,0,N,0,1055,41,0,0,0,0
2019,1,1,2,AA,12889,DFW,1,0,N,0,1055,4,0,0,0,33
2019,1,1,2,AA,11057,LAS,0,0,N,0,1916,0,0,0,0,0
2019,1,1,2,AA,11057,LAS,0,0,N,0,1916,0,0,0,0,0
2019,1,1,2,AA,12892,LAS,0,0,N,0,236,0,0,0,0,0
2019,1,1,2,AA,14570,DFW,0,0,N,0,1345,0,0,0,0,0
2019,1,1,2,AA,12889,LAX,1,0,N,0,236,0,0,0,0,71
2019,1,1,2,AA,12892,LAS,1,0,N,0,236,94,0,13,0,0
2019,1,1,2,AA,12889,MIA,0,0,N,0,2174,0,0,0,0,0
2019,1,1,2,AA,13303,LAS,0,0,N,0,2174,0,0,0,0,0
2019,1,1,2,AA,11298,LAS,0,0,N,0,1055,0,0,0,0,0
2019,1,1,2,AA,12889,DFW,0,0,N,0,1055,0,0,0,0,0
2019,1,1,2,AA,12889,MIA,0,0,N,0,2174,0,0,0,0,0
2019,1,1,2,AA,13303,LAS,0,0,N,0,2174,0,0,0,0,0
2019,1,1,2,AA,12889,MIA,1,0,N,0,2174,0,0,8,0,22
2019,1,1,2,AA,12889,LAX,0,0,N,0,236,0,0,0,0,0
2019,1,1,2,AA,12892,LAS,0,0,N,0,236,0,0,0,0,0
2019,1,1,2,AA,12889,PHX,0,0,N,0,255,0,0,0,0,0
2019,1,1,2,AA,12889,CLT,0,0,N,0,1916,0,0,0,0,0
2019,1,1,2,AA,11298,LAS,0,0,N,0,1055,0,0,0,0,0
2019,1,1,2,AA,14570,PHX,0,0,N,0,601,0,0,0,0,0
2019,1,1,2,AA,11298,LAS,1,0,N,0,1055,0,0,0,0,70
2019,1,1,2,AA,12889,DFW,1,0,N,0,1055,0,0,0,0,48
2019,1,1,2,AA,11298,RNO,0,0,N,0,1345,0,0,0,0,0
2019,1,1,2,AA,14570,DFW,0,0,N,0,1345,0,0,0,0,0
2019,1,1,2,WN,10140,LAS,2,1,B,0,486,0,0,0,0,0
2019,1,1,2,WN,10140,LAS,0,0,N,0,486,0,0,0,0,0
2019,1,1,2,WN,10140,LAS,0,0,N,0,486,0,0,0,0,0
2019,1,1,2,WN,10140,LAS,0,0,N,0,486,0,0,0,0,0
2019,1,1,2,WN,10279,LAS,0,0,N,0,758,0,0,0,0,0
2019,1,1,2,WN,10397,LAS,0,0,N,0,1747,0,0,0,0,0
2019,1,1,2,WN,10397,LAS,0,0,N,0,1747,0,0,0,0,0
2019,1,1,2,WN,10397,LAS,0,0,N,0,1747,0,0,0,0,0
2019,1,1,2,WN,10423,LAS,0,0,N,0,1090,0,0,0,0,0
2019,1,1,2,WN,10423,LAS,0,0,N,0,1090,0,0,0,0,0
2019,1,1,2,WN,10423,LAS,0,0,N,0,1090,0,0,0,0,0
2019,1,1,2,WN,10599,LAS,0,0,N,0,1618,0,0,0,0,0
2019,1,1,2,WN,10693,LAS,0,0,N,0,1587,0,0,0,0,0
2019,1,1,2,WN,10693,LAS,0,0,N,0,1587,0,0,0,0,0
2019,1,1,2,WN,10693,LAS,1,0,N,0,1587,15,0,0,0,0
2019,1,1,2,WN,10713,LAS,0,0,N,0,519,0,0,0,0,0
2019,1,1,2,WN,10713,LAS,0,0,N,0,519,0,0,0,0,0
2019,1,1,2,WN,10792,LAS,0,0,N,0,1986,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,1,0,N,0,223,0,0,4,0,14
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10800,LAS,0,0,N,0,223,0,0,0,0,0
2019,1,1,2,WN,10821,LAS,1,0,N,0,2106,18,0,0,0,13
2019,1,1,2,WN,10821,LAS,0,0,N,0,2106,0,0,0,0,0
2019,1,1,2,WN,10821,LAS,0,0,N,0,2106,0,0,0,0,0
2019,1,1,2,WN,10821,LAS,0,0,N,0,2106,0,0,0,0,0
2019,1,1,2,WN,10821,LAS,0,0,N,0,2106,0,0,0,0,0
2019,1,1,2,WN,11042,LAS,1,0,N,0,1824,27,0,0,0,0
2019,1,1,2,WN,11066,LAS,0,0,N,0,1771,0,0,0,0,0
2019,1,1,2,WN,11066,LAS,0,0,N,0,1771,0,0,0,0,0
2019,1,1,2,WN,11259,LAS,0,0,N,0,1067,0,0,0,0,0
2019,1,1,2,WN,11259,LAS,0,0,N,0,1067,0,0,0,0,0
2019,1,1,2,WN,11259,LAS,0,0,N,0,1067,0,0,0,0,0
2019,1,1,2,WN,11259,LAS,1,0,N,0,1067,3,0,0,0,26
2019,1,1,2,WN,11259,LAS,0,0,N,0,1067,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,1,0,N,0,628,4,0,0,0,17
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,1,0,N,0,628,15,0,0,0,0
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,LAS,0,0,N,0,628,0,0,0,0,0
2019,1,1,2,WN,11292,RNO,0,0,N,0,804,0,0,0,0,0
2019,1,1,2,WN,11292,RNO,0,0,N,0,804,0,0,0,0,0
2019,1,1,2,WN,11423,LAS,0,0,N,0,1216,0,0,0,0,0
2019,1,1,2,WN,11433,LAS,0,0,N,0,1749,0,0,0,0,0
2019,1,1,2,WN,11540,LAS,0,0,N,0,583,0,0,0,0,0
2019,1,1,2,WN,11540,LAS,0,0,N,0,583,0,0,0,0,0
2019,1,1,2,WN,11697,LAS,0,0,N,0,2173,0,0,0,0,0
2019,1,1,2,WN,11884,LAS,0,0,N,0,806,0,0,0,0,0
2019,1,1,2,WN,11884,LAS,0,0,N,0,806,0,0,0,0,0
2019,1,1,2,WN,12191,LAS,0,0,N,0,1235,0,0,0,0,0
2019,1,1,2,WN,12191,LAS,0,0,N,0,1235,0,0,0,0,0
2019,1,1,2,WN,12191,LAS,0,0,N,0,1235,0,0,0,0,0
2019,1,1,2,WN,12191,LAS,0,0,N,0,1235,0,0,0,0,0
2019,1,1,2,WN,12278,LAS,0,0,N,0,986,0,0,0,0,0
2019,1,1,2,WN,12339,LAS,0,0,N,0,1590,0,0,0,0,0
2019,1,1,2,WN,12339,LAS,0,0,N,0,1590,0,0,0,0,0
2019,1,1,2,WN,12889,ABQ,0,0,N,0,486,0,0,0,0,0
2019,1,1,2,WN,12889,ABQ,1,0,N,0,486,28,0,0,0,0
2019,1,1,2,WN,12889,ABQ,0,0,N,0,486,0,0,0,0,0
2019,1,1,2,WN,12889,ABQ,0,0,N,0,486,0,0,0,0,0
2019,1,1,2,WN,12889,AMA,0,0,N,0,758,0,0,0,0,0
2019,1,1,2,WN,12889,ATL,1,0,N,0,1747,6,0,0,0,17
2019,1,1,2,WN,12889,ATL,0,0,N,0,1747,0,0,0,0,0
2019,1,1,2,WN,12889,ATL,0,0,N,0,1747,0,0,0,0,0
2019,1,1,2,WN,12889,AUS,0,0,N,0,1090,0,0,0,0,0
2019,1,1,2,WN,12889,AUS,0,0,N,0,1090,0,0,0,0,0
2019,1,1,2,WN,12889,AUS,0,0,N,0,1090,0,0,0,0,0
2019,1,1,2,WN,12889,BHM,1,0,N,0,1618,105,0,0,0,0
2019,1,1,2,WN,12889,BNA,1,0,N,0,1587,30,0,0,0,18
