"ABR", Aberdeen, SD: Aberdeen Regional (ABR)
"ABI", Abilene, TX: Abilene Regional (ABI)
"ADK", Adak Island, AK: Adak (ADK)
"BQN", Aguadilla, PR: Rafael Hernandez (BQN)
"CAK", Akron, OH: Akron-Canton Regional (CAK)
"ABY", Albany, GA: Southwest Georgia Regional (ABY)
"ALB", Albany, NY: Albany International (ALB)
"ABQ", Albuquerque, NM: Albuquerque International Sunport (ABQ)
"AEX", Alexandria, LA: Alexandria International (AEX)
"ABE", Allentown/Bethlehem/Easton, PA: Lehigh Valley International (ABE)
"APN", Alpena, MI: Alpena County Regional (APN)
"AMA", Amarillo, TX: Rick Husband Amarillo International (AMA)
"ANC", Anchorage, AK: Ted Stevens Anchorage International (ANC)
"ANI", Aniak, AK: Aniak Airport (ANI)
"ATW", Appleton, WI: Appleton International (ATW)
"ACV", Arcata/Eureka, CA: California Redwood Coast Humboldt County (ACV)
"AVL", Asheville, NC: Asheville Regional (AVL)
"HTS", Ashland, WV: Tri-State/Milton J. Ferguson Field (HTS)
"ASE", Aspen, CO: Aspen Pitkin County Sardy Field (ASE)
"ATL", Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
"ACY", Atlantic City, NJ: Atlantic City International (ACY)
"AGS", Augusta, GA: Augusta Regional at Bush Field (AGS)
"AUS", Austin, TX: Austin - Bergstrom International (AUS)
"AUS", Austin, TX: Robert Mueller Municipal (AUS)
"BFL", Bakersfield, CA: Meadows Field (BFL)
"BWI", Baltimore, MD: Baltimore/Washington International Thurgood Marshall (BWI)
"BGR", Bangor, ME: Bangor International (BGR)
"BRW", Barrow, AK: Wiley Post/Will Rogers Memorial (BRW)
"BTR", Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field (BTR)
"BPT", Beaumont/Port Arthur, TX: Jack Brooks Regional (BPT)
"BLV", Belleville, IL: Scott AFB/MidAmerica (BLV)
"BLI", Bellingham, WA: Bellingham International (BLI)
"BJI", Bemidji, MN: Bemidji Regional (BJI)
"RDM", Bend/Redmond, OR: Roberts Field (RDM)
