"TZ", ATA Airlines (TZ)
"FL", AirTran Airways (FL)
"AS", Alaska Airlines Inc. (AS)
"G4", Allegiant Air (G4)
"AQ", Aloha Airlines Inc. (AQ)
"HP", America West Airlines Inc. (HP)
"AA", American Airlines Inc. (AA)
"MQ", American Eagle Airlines Inc. (MQ)
"DH", Atlantic Coast Airlines (DH)
"EV", Atlantic Southeast Airlines (EV)
"OH (1)", Comair Inc. (OH)
"CO", Continental Airlines Inc. (CO)
"DL", Delta Airlines Inc. (DL)
"9E", Endeavor Air Inc. (9E)
"MQ", Envoy Air (MQ)
"EV", ExpressJet Airlines Inc. (EV)
"XE", ExpressJet Airlines Inc. (XE)
"EV", ExpressJet Airlines LLC (EV)
"F9", Frontier Airlines Inc. (F9)
"HA", Hawaiian Airlines Inc. (HA)
"DH", Independence Air (DH)
"B6", JetBlue Airways (B6)
"YV", Mesa Airlines Inc. (YV)
"NW", Northwest Airlines Inc. (NW)
"OH", PSA Airlines Inc. (OH)
"9E", Pinnacle Airlines Inc. (9E)
"YX", Republic Airline (YX)
"OO", SkyWest Airlines Inc. (OO)
"WN", Southwest Airlines Co. (WN)
"NK", Spirit Airlines (NK)
"US", US Airways Inc. (US)
"UA", United Airlines Inc. (UA)
"VX", Virgin America (VX)
