,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
18825,2019,1,1,2,WN,N237WN,LAS,"Las Vegas, NV",SJC,"San Jose, CA",2213.0,73.0,73.0,1.0,0.0,0.0,0.0,0.0,73.0
3438,2019,1,1,2,AA,N667AW,RNO,"Reno, NV",PHX,"Phoenix, AZ",1527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23647,2019,1,1,2,NK,N647NK,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1911.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18921,2019,1,1,2,WN,N913WN,PDX,"Portland, OR",LAS,"Las Vegas, NV",1319.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8137,2019,1,1,2,DL,N897DN,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",803.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8138,2019,1,1,2,DL,N361NB,RNO,"Reno, NV",SLC,"Salt Lake City, UT",1314.0,33.0,33.0,1.0,7.0,0.0,26.0,0.0,0.0
8139,2019,1,1,2,DL,N361NB,SLC,"Salt Lake City, UT",RNO,"Reno, NV",845.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8140,2019,1,1,2,DL,N308DN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",2226.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8141,2019,1,1,2,DL,N861DN,LAS,"Las Vegas, NV",SLC,"Salt Lake City, UT",1429.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8142,2019,1,1,2,DL,N679DA,ATL,"Atlanta, GA",RNO,"Reno, NV",2008.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8143,2019,1,1,2,DL,N324NB,MSP,"Minneapolis, MN",RNO,"Reno, NV",1222.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8144,2019,1,1,2,DL,N324NB,RNO,"Reno, NV",MSP,"Minneapolis, MN",1956.0,60.0,60.0,1.0,32.0,0.0,28.0,0.0,0.0
18920,2019,1,1,2,WN,N7751A,PDX,"Portland, OR",LAS,"Las Vegas, NV",1903.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8145,2019,1,1,2,DL,N829DN,JFK,"New York, NY",LAS,"Las Vegas, NV",1430.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8147,2019,1,1,2,DL,N320NB,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1332.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8148,2019,1,1,2,DL,N829DN,LAS,"Las Vegas, NV",JFK,"New York, NY",18.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8149,2019,1,1,2,DL,N813DN,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",1707.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17393,2019,1,1,2,OO,N715SK,LAX,"Los Angeles, CA",RNO,"Reno, NV",1505.0,19.0,19.0,1.0,5.0,0.0,9.0,0.0,5.0
17394,2019,1,1,2,OO,N715SK,RNO,"Reno, NV",LAX,"Los Angeles, CA",1709.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17395,2019,1,1,2,OO,N715SK,RNO,"Reno, NV",LAX,"Los Angeles, CA",1223.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
17396,2019,1,1,2,OO,N715SK,LAX,"Los Angeles, CA",RNO,"Reno, NV",1032.0,33.0,33.0,1.0,33.0,0.0,0.0,0.0,0.0
17397,2019,1,1,2,OO,N197SY,SEA,"Seattle, WA",RNO,"Reno, NV",1342.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17398,2019,1,1,2,OO,N197SY,RNO,"Reno, NV",SEA,"Seattle, WA",1616.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17399,2019,1,1,2,OO,N178SY,PDX,"Portland, OR",RNO,"Reno, NV",1718.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17400,2019,1,1,2,OO,N178SY,RNO,"Reno, NV",SJC,"San Jose, CA",1928.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8146,2019,1,1,2,DL,N320NB,LAS,"Las Vegas, NV",SEA,"Seattle, WA",1716.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
18395,2019,1,1,2,AA,N914UY,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",2348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23616,2019,1,1,2,NK,N647NK,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",2150.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18448,2019,1,1,2,AA,N176UW,LAS,"Las Vegas, NV",CLT,"Charlotte, NC",1448.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17297,2019,1,1,2,NK,N605NK,LAS,"Las Vegas, NV",MSP,"Minneapolis, MN",2333.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28928,2019,1,1,2,UA,N67845,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",911.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3609,2019,1,1,2,AA,N982NN,JFK,"New York, NY",LAS,"Las Vegas, NV",947.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6681,2019,1,1,2,YV,N246LR,RNO,"Reno, NV",PHX,"Phoenix, AZ",1906.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
