year,month,day_of_month,day_of_week,op_unique_carrier,tail_num,origin,origin_city_name,dest,dest_city_name,arr_time,arr_delay,arr_delay_new,arr_del15,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,1,1,2,NK,N647NK,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1911,-31,0,0,0,0,0,0,0
2019,1,1,2,WN,N913WN,PDX,"Portland, OR",LAS,"Las Vegas, NV",1319,4,4,0,0,0,0,0,0
2019,1,1,2,DL,N897DN,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",803,-30,0,0,0,0,0,0,0
2019,1,1,2,DL,N308DN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",2226,10,10,0,0,0,0,0,0
2019,1,1,2,WN,N7751A,PDX,"Portland, OR",LAS,"Las Vegas, NV",1903,-12,0,0,0,0,0,0,0
2019,1,1,2,DL,N829DN,JFK,"New York, NY",LAS,"Las Vegas, NV",1430,-8,0,0,0,0,0,0,0
2019,1,1,2,DL,N320NB,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1332,-15,0,0,0,0,0,0,0
2019,1,1,2,DL,N813DN,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",1707,-26,0,0,0,0,0,0,0
2019,1,1,2,AA,N982NN,JFK,"New York, NY",LAS,"Las Vegas, NV",947,-20,0,0,0,0,0,0,0
2019,1,1,2,WN,N295WN,OMA,"Omaha, NE",LAS,"Las Vegas, NV",721,-24,0,0,0,0,0,0,0
2019,1,1,2,WN,N904WN,OMA,"Omaha, NE",LAS,"Las Vegas, NV",1759,69,69,1,9,0,0,0,60
2019,1,1,2,WN,N7888A,ONT,"Ontario, CA",LAS,"Las Vegas, NV",2301,26,26,1,0,0,2,0,24
2019,1,1,2,WN,N8624J,ONT,"Ontario, CA",LAS,"Las Vegas, NV",752,7,7,0,0,0,0,0,0
2019,1,1,2,AA,N156AN,DFW,"Dallas/Fort Worth, TX",LAS,"Las Vegas, NV",1735,-11,0,0,0,0,0,0,0
2019,1,1,2,AA,N988AL,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1349,-3,0,0,0,0,0,0,0
2019,1,1,2,NK,N630NK,DTW,"Detroit, MI",LAS,"Las Vegas, NV",2143,37,37,1,0,0,37,0,0
2019,1,1,2,WN,N241WN,ONT,"Ontario, CA",LAS,"Las Vegas, NV",1331,6,6,0,0,0,0,0,0
2019,1,1,2,WN,N901WN,ONT,"Ontario, CA",LAS,"Las Vegas, NV",1811,16,16,1,0,0,16,0,0
2019,1,1,2,WN,N8628A,PDX,"Portland, OR",LAS,"Las Vegas, NV",2206,6,6,0,0,0,0,0,0
