Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","01/01/2019","0403","N341FR","DEN","09:48","09:41","171","141","-7","09:32","9","0","0","0","0","0"
"F9","01/01/2019","0409","N927FR","DEN","23:43","23:58","158","123","15","23:48","10","15","0","0","0","0"
"F9","01/01/2019","1443","N316FR","ATL","11:26","12:02","310","320","36","11:47","15","0","0","10","0","26"
"F9","01/02/2019","0409","N939FR","DEN","23:43","23:22","158","140","-21","23:00","22","0","0","0","0","0"
"F9","01/03/2019","0403","N335FR","DEN","09:48","09:19","171","145","-29","09:04","15","0","0","0","0","0"
"F9","01/03/2019","0409","N926FR","DEN","23:43","23:23","158","139","-20","23:08","15","0","0","0","0","0"
"F9","01/03/2019","1443","N323FR","ATL","11:26","11:06","310","285","-20","10:54","12","0","0","0","0","0"
"F9","01/04/2019","0409","N910FR","DEN","23:43","23:35","158","158","-8","23:24","11","0","0","0","0","0"
"F9","01/05/2019","0409","N926FR","DEN","23:43","00:07","158","180","24","23:57","10","2","0","22","0","0"
"F9","01/06/2019","0403","N304FR","DEN","09:48","09:32","171","161","-16","09:26","6","0","0","0","0","0"
"F9","01/06/2019","0409","N927FR","DEN","23:43","23:54","158","177","11","23:15","39","0","0","0","0","0"
"F9","01/06/2019","1515","N335FR","ATL","11:26","11:15","310","304","-11","11:06","9","0","0","0","0","0"
"F9","01/07/2019","0409","N304FR","DEN","23:43","23:26","158","141","-17","23:20","6","0","0","0","0","0"
"F9","01/08/2019","0403","N227FR","DEN","09:48","09:21","171","151","-27","09:14","7","0","0","0","0","0"
"F9","01/08/2019","0409","N939FR","DEN","23:43","23:32","158","149","-11","23:21","11","0","0","0","0","0"
"F9","01/08/2019","1515","N205FR","ATL","11:26","11:11","310","293","-15","10:59","12","0","0","0","0","0"
"F9","01/09/2019","0409","N941FR","DEN","23:43","23:25","158","147","-18","23:17","8","0","0","0","0","0"
"F9","01/10/2019","0403","N317FR","DEN","09:48","09:25","171","151","-23","09:13","12","0","0","0","0","0"
"F9","01/10/2019","0409","N939FR","DEN","23:43","23:18","158","141","-25","23:07","11","0","0","0","0","0"
"F9","01/10/2019","1515","N342FR","ATL","11:26","11:34","310","322","8","11:19","15","0","0","0","0","0"
"F9","01/11/2019","0409","N317FR","DEN","23:43","00:04","158","172","21","23:53","11","7","0","14","0","0"
