Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","01/01/2019","0002","N381HA","HNL","23:05","23:43","320","359","38","23:29","14","38","0","0","0","0"
"HA","01/01/2019","0004","N391HA","HNL","06:35","07:08","315","351","33","06:56","12","33","0","0","0","0"
"HA","01/01/2019","0010","N360HA","HNL","15:20","15:54","320","349","34","15:43","11","29","0","5","0","0"
"HA","01/01/2019","0034","N386HA","OGG","22:10","23:48","300","343","98","23:31","17","43","0","0","0","55"
"HA","01/01/2019","0062","N215HA","KOA","23:40","00:28","315","372","48","00:07","21","48","0","0","0","0"
"HA","01/01/2019","0064","N204HA","LIH","21:40","22:28","320","366","48","22:15","13","48","0","0","0","0"
"HA","01/02/2019","0002","N383HA","HNL","23:05","23:26","320","338","21","23:15","11","21","0","0","0","0"
"HA","01/02/2019","0004","N385HA","HNL","06:35","06:45","315","331","10","06:34","11","0","0","0","0","0"
"HA","01/02/2019","0010","N385HA","HNL","15:20","15:49","320","339","29","15:37","12","28","0","0","0","1"
"HA","01/02/2019","0034","N391HA","OGG","22:10","22:42","300","333","32","22:24","18","32","0","0","0","0"
"HA","01/02/2019","0062","N204HA","KOA","23:40","00:08","315","352","28","23:43","25","28","0","0","0","0"
"HA","01/02/2019","0064","N208HA","LIH","21:40","23:32","320","331","112","23:18","14","20","0","0","0","92"
"HA","01/03/2019","0002","N395HA","HNL","23:05","23:28","320","312","23","23:17","11","0","0","0","23","0"
"HA","01/03/2019","0004","N386HA","HNL","06:35","06:24","315","309","-11","06:16","8","0","0","0","0","0"
"HA","01/03/2019","0010","N386HA","HNL","15:20","15:29","320","324","9","15:16","13","0","0","0","0","0"
"HA","01/03/2019","0034","N385HA","OGG","22:10","22:24","300","309","14","22:09","15","0","0","0","0","0"
