"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,4,1,1,"NK","N639NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2054",-25.00,0.00,0.00,0.00,,,,,,
2019,4,2,2,"NK","N643NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2113",-6.00,0.00,0.00,0.00,,,,,,
2019,4,3,3,"NK","N607NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2039",-40.00,0.00,0.00,0.00,,,,,,
2019,4,4,4,"NK","N650NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2102",-17.00,0.00,0.00,0.00,,,,,,
2019,4,5,5,"NK","N616NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2055",-24.00,0.00,0.00,0.00,,,,,,
2019,4,6,6,"NK","N908NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2050",-29.00,0.00,0.00,0.00,,,,,,
2019,4,7,7,"NK","N691NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2109",-10.00,0.00,0.00,0.00,,,,,,
2019,4,8,1,"NK","N635NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2055",-24.00,0.00,0.00,0.00,,,,,,
2019,4,9,2,"NK","N622NK","CMH","Columbus, OH","LAS","Las Vegas, NV","0055",,,,0.00,,,,,,
2019,4,10,3,"NK","N642NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2104",-15.00,0.00,0.00,0.00,,,,,,
2019,4,11,4,"NK","N648NK","CMH","Columbus, OH","LAS","Las Vegas, NV","0133",254.00,254.00,1.00,0.00,254.00,0.00,0.00,0.00,0.00,
2019,4,12,5,"NK","N612NK","CMH","Columbus, OH","LAS","Las Vegas, NV","2058",-21.00,0.00,0.00,0.00,,,,,,
