"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,2,1,5,"AA","N814NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","0933",-25.00,0.00,0.00,0.00,,,,,,
2019,2,2,6,"AA","N914NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","1005",7.00,7.00,0.00,0.00,,,,,,
2019,2,3,7,"AA","N865NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","1002",4.00,4.00,0.00,0.00,,,,,,
2019,2,4,1,"AA","N826NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","1007",9.00,9.00,0.00,0.00,,,,,,
2019,2,5,2,"AA","N969NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","1021",23.00,23.00,1.00,0.00,0.00,0.00,23.00,0.00,0.00,
2019,2,6,3,"AA","N901NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","0957",-1.00,0.00,0.00,0.00,,,,,,
2019,2,7,4,"AA","N859NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","1116",78.00,78.00,1.00,0.00,78.00,0.00,0.00,0.00,0.00,
2019,2,8,5,"AA","N338PK","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","0945",-13.00,0.00,0.00,0.00,,,,,,
2019,2,9,6,"AA","N962NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","0958",0.00,0.00,0.00,0.00,,,,,,
2019,2,10,7,"AA","N804NN","DFW","Dallas/Fort Worth, TX","LAS","Las Vegas, NV","1009",11.00,11.00,0.00,0.00,,,,,,
