"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,1,5,6,"WN","N8626B","OMA","Omaha, NE","LAS","Las Vegas, NV","0914",24.00,24.00,1.00,0.00,0.00,0.00,24.00,0.00,0.00,
2019,1,5,6,"WN","N7818L","OMA","Omaha, NE","LAS","Las Vegas, NV","1558",8.00,8.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N746SW","ONT","Ontario, CA","LAS","Las Vegas, NV","0808",-7.00,0.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N790SW","ONT","Ontario, CA","LAS","Las Vegas, NV","1004",-11.00,0.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N7745A","ONT","Ontario, CA","LAS","Las Vegas, NV","1435",5.00,5.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N704SW","ONT","Ontario, CA","LAS","Las Vegas, NV","1600",0.00,0.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N216WR","PDX","Portland, OR","LAS","Las Vegas, NV","1625",0.00,0.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N8548P","PDX","Portland, OR","LAS","Las Vegas, NV","1129",9.00,9.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N7818L","PDX","Portland, OR","LAS","Las Vegas, NV","0849",-6.00,0.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N7862A","PDX","Portland, OR","LAS","Las Vegas, NV","1915",70.00,70.00,1.00,0.00,0.00,0.00,28.00,0.00,42.00,
2019,1,5,6,"WN","N212WN","PHX","Phoenix, AZ","LAS","Las Vegas, NV","2036",1.00,1.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N293WN","PHX","Phoenix, AZ","LAS","Las Vegas, NV","1250",90.00,90.00,1.00,0.00,90.00,0.00,0.00,0.00,0.00,
2019,1,5,6,"WN","N7816B","PHX","Phoenix, AZ","LAS","Las Vegas, NV","1703",8.00,8.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N213WN","PHX","Phoenix, AZ","LAS","Las Vegas, NV","1937",7.00,7.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N281WN","PHX","Phoenix, AZ","LAS","Las Vegas, NV","1833",-12.00,0.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N264LV","PHX","Phoenix, AZ","LAS","Las Vegas, NV","1339",14.00,14.00,0.00,0.00,,,,,,
2019,1,5,6,"WN","N7838A","PHX","Phoenix, AZ","LAS","Las Vegas, NV","1742",-13.00,0.00,0.00,0.00,,,,,,
