"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,6,24,1,"B6","N979JT","JFK","New York, NY","LAS","Las Vegas, NV","0852",-19.00,0.00,0.00,0.00,,,,,,
2019,6,24,1,"B6","N828JB","LAS","Las Vegas, NV","JFK","New York, NY","2334",-23.00,0.00,0.00,0.00,,,,,,
2019,6,24,1,"B6","N980JT","BOS","Boston, MA","LAS","Las Vegas, NV","1047",-16.00,0.00,0.00,0.00,,,,,,
2019,6,24,1,"B6","N556JB","LAS","Las Vegas, NV","BOS","Boston, MA","2208",-22.00,0.00,0.00,0.00,,,,,,
2019,6,24,1,"B6","N828JB","JFK","New York, NY","LAS","Las Vegas, NV","1343",-38.00,0.00,0.00,0.00,,,,,,
2019,6,25,2,"B6","N634JB","FLL","Fort Lauderdale, FL","LAS","Las Vegas, NV","2140",26.00,26.00,1.00,0.00,17.00,0.00,9.00,0.00,0.00,
2019,6,25,2,"B6","N634JB","LAS","Las Vegas, NV","FLL","Fort Lauderdale, FL","0630",28.00,28.00,1.00,0.00,16.00,0.00,0.00,0.00,12.00,
2019,6,25,2,"B6","N623JB","LGB","Long Beach, CA","RNO","Reno, NV","1220",-14.00,0.00,0.00,0.00,,,,,,
2019,6,25,2,"B6","N623JB","RNO","Reno, NV","LGB","Long Beach, CA","1434",-9.00,0.00,0.00,0.00,,,,,,
2019,6,25,2,"B6","N834JB","RNO","Reno, NV","JFK","New York, NY","0735",-26.00,0.00,0.00,0.00,,,,,,
2019,6,25,2,"B6","N834JB","JFK","New York, NY","RNO","Reno, NV","2133",-48.00,0.00,0.00,0.00,,,,,,
2019,6,25,2,"B6","N961JT","BOS","Boston, MA","LAS","Las Vegas, NV","0022",34.00,34.00,1.00,0.00,5.00,0.00,0.00,0.00,29.00,
2019,6,25,2,"B6","N929JB","LAS","Las Vegas, NV","BOS","Boston, MA","1949",71.00,71.00,1.00,0.00,0.00,0.00,37.00,0.00,34.00,
2019,6,25,2,"B6","N615JB","LAS","Las Vegas, NV","LGB","Long Beach, CA","1353",48.00,48.00,1.00,0.00,0.00,0.00,0.00,0.00,48.00,
2019,6,25,2,"B6","N537JT","LGB","Long Beach, CA","LAS","Las Vegas, NV","2026",84.00,84.00,1.00,0.00,0.00,0.00,8.00,0.00,76.00,
2019,6,25,2,"B6","N505JB","LGB","Long Beach, CA","LAS","Las Vegas, NV","1321",-5.00,0.00,0.00,0.00,,,,,,
