"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,3,12,2,"WN","N7878A","LAX","Los Angeles, CA","RNO","Reno, NV","2230",-5.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N492WN","LAX","Los Angeles, CA","RNO","Reno, NV","1821",6.00,6.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N262WN","LAX","Los Angeles, CA","RNO","Reno, NV","0842",-3.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N700GS","LBB","Lubbock, TX","LAS","Las Vegas, NV","",,,,1.00,,,,,,
2019,3,12,2,"WN","N712SW","LGB","Long Beach, CA","LAS","Las Vegas, NV","1624",-6.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N7855A","LGB","Long Beach, CA","LAS","Las Vegas, NV","1323",13.00,13.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N7855A","LGB","Long Beach, CA","LAS","Las Vegas, NV","1014",19.00,19.00,1.00,0.00,0.00,0.00,19.00,0.00,0.00,
2019,3,12,2,"WN","N773SA","LIT","Little Rock, AR","LAS","Las Vegas, NV","1246",-9.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N700GS","MAF","Midland/Odessa, TX","LAS","Las Vegas, NV","1324",164.00,164.00,1.00,0.00,6.00,0.00,0.00,0.00,158.00,
2019,3,12,2,"WN","N272WN","MCI","Kansas City, MO","LAS","Las Vegas, NV","1309",-11.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N7861J","MCI","Kansas City, MO","LAS","Las Vegas, NV","2352",27.00,27.00,1.00,0.00,0.00,0.00,0.00,0.00,27.00,
2019,3,12,2,"WN","N930WN","MCI","Kansas City, MO","LAS","Las Vegas, NV","1752",22.00,22.00,1.00,0.00,1.00,0.00,0.00,0.00,21.00,
2019,3,12,2,"WN","N8734Q","MCI","Kansas City, MO","LAS","Las Vegas, NV","1058",18.00,18.00,1.00,0.00,0.00,0.00,11.00,0.00,7.00,
2019,3,12,2,"WN","N8320J","MCO","Orlando, FL","LAS","Las Vegas, NV","2009",-11.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N8536Z","MCO","Orlando, FL","LAS","Las Vegas, NV","0909",-6.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N240WN","MDW","Chicago, IL","LAS","Las Vegas, NV","1709",34.00,34.00,1.00,0.00,25.00,0.00,9.00,0.00,0.00,
2019,3,12,2,"WN","N7824A","MDW","Chicago, IL","LAS","Las Vegas, NV","2319",-1.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N735SA","MDW","Chicago, IL","LAS","Las Vegas, NV","2016",16.00,16.00,1.00,0.00,0.00,0.00,10.00,0.00,6.00,
2019,3,12,2,"WN","N8721J","MDW","Chicago, IL","LAS","Las Vegas, NV","1910",15.00,15.00,1.00,0.00,4.00,0.00,0.00,0.00,11.00,
2019,3,12,2,"WN","N8676A","MDW","Chicago, IL","LAS","Las Vegas, NV","1415",25.00,25.00,1.00,0.00,20.00,0.00,5.00,0.00,0.00,
2019,3,12,2,"WN","N8533S","MDW","Chicago, IL","LAS","Las Vegas, NV","2133",18.00,18.00,1.00,0.00,0.00,0.00,18.00,0.00,0.00,
2019,3,12,2,"WN","N8643A","MDW","Chicago, IL","LAS","Las Vegas, NV","1515",0.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N8572X","MDW","Chicago, IL","LAS","Las Vegas, NV","1000",0.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N8692F","MDW","Chicago, IL","LAS","Las Vegas, NV","0731",-9.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N263WN","MDW","Chicago, IL","RNO","Reno, NV","2103",-7.00,0.00,0.00,0.00,,,,,,
2019,3,12,2,"WN","N710SW","MKE","Milwaukee, WI","LAS","Las Vegas, NV","2003",28.00,28.00,1.00,0.00,10.00,0.00,0.00,0.00,18.00,
