"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2019,5,21,2,"AS","N851VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","1356",21.00,21.00,1.00,0.00,0.00,0.00,21.00,0.00,0.00,
2019,5,21,2,"AS","N634VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","1701",11.00,11.00,0.00,0.00,,,,,,
2019,5,21,2,"AS","N848VA","SFO","San Francisco, CA","LAS","Las Vegas, NV","2140",-10.00,0.00,0.00,0.00,,,,,,
2019,5,21,2,"AS","N528VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","2154",79.00,79.00,1.00,0.00,0.00,0.00,59.00,0.00,20.00,
2019,5,22,3,"AS","N435AS","LAS","Las Vegas, NV","SEA","Seattle, WA","2331",-19.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N457AS","LAS","Las Vegas, NV","PDX","Portland, OR","1008",-7.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N435AS","SEA","Seattle, WA","LAS","Las Vegas, NV","2017",2.00,2.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N288AK","LAS","Las Vegas, NV","SEA","Seattle, WA","1605",95.00,95.00,1.00,0.00,0.00,60.00,35.00,0.00,0.00,
2019,5,22,3,"AS","N280AK","LAS","Las Vegas, NV","SEA","Seattle, WA","1953",78.00,78.00,1.00,0.00,0.00,0.00,0.00,0.00,78.00,
2019,5,22,3,"AS","N315AS","SEA","Seattle, WA","LAS","Las Vegas, NV","0055",10.00,10.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N428AS","LAS","Las Vegas, NV","SEA","Seattle, WA","1044",4.00,4.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N288AK","SEA","Seattle, WA","LAS","Las Vegas, NV","1042",2.00,2.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N534AS","PDX","Portland, OR","LAS","Las Vegas, NV","2229",-11.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N280AK","SFO","San Francisco, CA","LAS","Las Vegas, NV","1643",108.00,108.00,1.00,0.00,0.00,0.00,108.00,0.00,0.00,
2019,5,22,3,"AS","N848VA","LAS","Las Vegas, NV","SEA","Seattle, WA","0842",2.00,2.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N837VA","SEA","Seattle, WA","LAS","Las Vegas, NV","2217",-8.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N847VA","PDX","Portland, OR","LAS","Las Vegas, NV","1646",-4.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N626VA","LAS","Las Vegas, NV","PDX","Portland, OR","1220",-5.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N282VA","SEA","Seattle, WA","LAS","Las Vegas, NV","0810",-5.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N640VA","LAS","Las Vegas, NV","SEA","Seattle, WA","2257",47.00,47.00,1.00,0.00,0.00,0.00,0.00,0.00,47.00,
2019,5,22,3,"AS","N629VA","LAS","Las Vegas, NV","LAX","Los Angeles, CA","1137",-3.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N629VA","LAS","Las Vegas, NV","LAX","Los Angeles, CA","1803",133.00,133.00,1.00,0.00,0.00,0.00,9.00,0.00,124.00,
2019,5,22,3,"AS","N282VA","LAS","Las Vegas, NV","SEA","Seattle, WA","1220",-10.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N629VA","LAX","Los Angeles, CA","LAS","Las Vegas, NV","2028",103.00,103.00,1.00,0.00,0.00,0.00,32.00,0.00,71.00,
2019,5,22,3,"AS","N629VA","LAX","Los Angeles, CA","LAS","Las Vegas, NV","1557",132.00,132.00,1.00,0.00,0.00,0.00,132.00,0.00,0.00,
2019,5,22,3,"AS","N525VA","LAX","Los Angeles, CA","LAS","Las Vegas, NV","2148",13.00,13.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N364VA","LAS","Las Vegas, NV","LAX","Los Angeles, CA","1919",64.00,64.00,1.00,0.00,0.00,0.00,0.00,0.00,64.00,
2019,5,22,3,"AS","N630VA","LAS","Las Vegas, NV","PDX","Portland, OR","1827",127.00,127.00,1.00,0.00,0.00,0.00,0.00,0.00,127.00,
2019,5,22,3,"AS","N364VA","SEA","Seattle, WA","LAS","Las Vegas, NV","1726",76.00,76.00,1.00,0.00,0.00,0.00,76.00,0.00,0.00,
2019,5,22,3,"AS","N629VA","LAS","Las Vegas, NV","PDX","Portland, OR","2317",82.00,82.00,1.00,0.00,0.00,0.00,0.00,0.00,82.00,
2019,5,22,3,"AS","N625VA","SEA","Seattle, WA","LAS","Las Vegas, NV","1835",,,,0.00,,,,,,
2019,5,22,3,"AS","N625VA","LAS","Las Vegas, NV","SEA","Seattle, WA","2206",326.00,326.00,1.00,0.00,0.00,3.00,3.00,0.00,320.00,
2019,5,22,3,"AS","N853VA","PDX","Portland, OR","LAS","Las Vegas, NV","1124",14.00,14.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N846VA","PDX","Portland, OR","LAS","Las Vegas, NV","2047",-3.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N847VA","LAS","Las Vegas, NV","SEA","Seattle, WA","2026",6.00,6.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N640VA","SEA","Seattle, WA","LAS","Las Vegas, NV","1935",60.00,60.00,1.00,0.00,0.00,0.00,60.00,0.00,0.00,
2019,5,22,3,"AS","N852VA","SEA","Seattle, WA","LAS","Las Vegas, NV","1452",32.00,32.00,1.00,0.00,0.00,0.00,32.00,0.00,0.00,
2019,5,22,3,"AS","N630VA","SFO","San Francisco, CA","LAS","Las Vegas, NV","1533",,,,0.00,,,,,,
2019,5,22,3,"AS","N635VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","0727",-18.00,0.00,0.00,0.00,,,,,,
2019,5,22,3,"AS","N641VA","SFO","San Francisco, CA","LAS","Las Vegas, NV","1657",47.00,47.00,1.00,0.00,0.00,0.00,47.00,0.00,0.00,
2019,5,22,3,"AS","N641VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","1927",47.00,47.00,1.00,0.00,0.00,4.00,1.00,0.00,42.00,
2019,5,22,3,"AS","N528VA","SFO","San Francisco, CA","LAS","Las Vegas, NV","1837",27.00,27.00,1.00,0.00,0.00,0.00,27.00,0.00,0.00,
2019,5,22,3,"AS","N853VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","1451",76.00,76.00,1.00,0.00,0.00,38.00,38.00,0.00,0.00,
2019,5,22,3,"AS","N852VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","1754",64.00,64.00,1.00,0.00,64.00,0.00,0.00,0.00,0.00,
2019,5,22,3,"AS","N849VA","SFO","San Francisco, CA","LAS","Las Vegas, NV","2218",28.00,28.00,1.00,0.00,0.00,0.00,2.00,0.00,26.00,
2019,5,22,3,"AS","N528VA","LAS","Las Vegas, NV","SFO","San Francisco, CA","2056",21.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,21.00,
2019,5,23,4,"AS","N224AK","LAS","Las Vegas, NV","SEA","Seattle, WA","0003",13.00,13.00,0.00,0.00,,,,,,
2019,5,23,4,"AS","N534AS","LAS","Las Vegas, NV","PDX","Portland, OR","1001",-14.00,0.00,0.00,0.00,,,,,,
2019,5,23,4,"AS","N224AK","SEA","Seattle, WA","LAS","Las Vegas, NV","2041",26.00,26.00,1.00,0.00,1.00,0.00,0.00,0.00,25.00,
2019,5,23,4,"AS","N471AS","LAS","Las Vegas, NV","SEA","Seattle, WA","1425",-5.00,0.00,0.00,0.00,,,,,,
