Detailed Statistics Arrivals  
Destination Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: Allegiant Air (G4)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","01/01/2019","0341","336NV","MFR","12:30","12:37","113","104","7","12:24","13","0","0","0","0","0"
"G4","01/01/2019","0702","314NV","BLI","10:45","10:15","165","143","-30","10:07","8","0","0","0","0","0"
"G4","01/01/2019","2651","336NV","SGF","20:38","20:51","212","215","13","20:44","7","0","0","0","0","0"
"G4","01/02/2019","0190","336NV","EUG","22:22","22:17","124","121","-5","22:01","16","0","0","0","0","0"
"G4","01/02/2019","0319","303NV","SGF","13:57","13:48","216","201","-9","13:43","5","0","0","0","0","0"
"G4","01/02/2019","0335","303NV","TUL","21:50","21:13","209","175","-37","21:06","7","0","0","0","0","0"
"G4","01/02/2019","0345","336NV","PVU","16:38","16:39","113","102","1","16:33","6","0","0","0","0","0"
"G4","01/02/2019","0361","336NV","MTJ","11:38","11:52","123","111","14","11:38","14","0","0","0","0","0"
"G4","01/02/2019","0702","314NV","BLI","17:51","17:42","170","161","-9","17:33","9","0","0","0","0","0"
"G4","01/03/2019","0303","336NV","OKC","23:12","03:43","185","168","271","03:39","4","0","14","0","0","257"
"G4","01/03/2019","0341","303NV","MFR","16:34","16:21","113","113","-13","16:10","11","0","0","0","0","0"
"G4","01/03/2019","0355","336NV","MEM","15:54","15:46","242","234","-8","15:41","5","0","0","0","0","0"
"G4","01/03/2019","0702","314NV","BLI","10:50","10:45","170","165","-5","10:29","16","0","0","0","0","0"
"G4","01/03/2019","1360","261NV","CVG","09:02","08:36","302","278","-26","08:20","16","0","0","0","0","0"
"G4","01/04/2019","0190","336NV","EUG","21:48","22:10","124","139","22","21:50","20","0","0","22","0","0"
"G4","01/04/2019","0335","303NV","TUL","14:38","14:05","209","184","-33","13:56","9","0","0","0","0","0"
"G4","01/04/2019","0339","303NV","BOI","20:12","20:13","127","137","1","19:59","14","0","0","0","0","0"
"G4","01/04/2019","0345","336NV","PVU","16:04","16:13","113","108","9","16:04","9","0","0","0","0","0"
"G4","01/04/2019","1360","261NV","CVG","09:32","09:32","302","264","0","09:25","7","0","0","0","0","0"
"G4","01/05/2019","0319","303NV","SGF","19:50","20:32","216","229","42","20:24","8","8","0","13","0","21"
"G4","01/05/2019","0353","336NV","BLI","13:47","13:45","170","183","-2","13:32","13","0","0","0","0","0"
"G4","01/05/2019","0361","303NV","MTJ","11:38","12:10","123","140","32","11:57","13","15","0","17","0","0"
"G4","01/06/2019","0303","303NV","OKC","23:12","23:19","185","200","7","23:08","11","0","0","0","0","0"
"G4","01/06/2019","0341","336NV","MFR","16:34","16:43","113","112","9","16:35","8","0","0","0","0","0"
"G4","01/06/2019","0355","303NV","MEM","15:54","15:55","242","243","1","15:45","10","0","0","0","0","0"
"G4","01/06/2019","0702","314NV","BLI","19:02","18:43","170","155","-19","18:34","9","0","0","0","0","0"
"G4","01/06/2019","1360","247NV","CVG","09:02","09:02","302","302","0","08:52","10","0","0","0","0","0"
"G4","01/07/2019","0190","303NV","EUG","22:48","22:44","124","126","-4","22:35","9","0","0","0","0","0"
"G4","01/07/2019","0335","336NV","TUL","14:38","14:54","209","216","16","14:43","11","9","0","7","0","0"
"G4","01/07/2019","0339","336NV","BOI","20:27","20:30","127","135","3","20:19","11","0","0","0","0","0"
"G4","01/07/2019","0345","303NV","PVU","17:04","16:48","113","105","-16","16:42","6","0","0","0","0","0"
"G4","01/07/2019","1360","247NV","CVG","09:32","10:00","302","333","28","09:42","18","0","0","28","0","0"
"G4","01/09/2019","0361","303NV","MTJ","12:38","12:33","123","118","-5","12:26","7","0","0","0","0","0"
"G4","01/10/2019","0303","336NV","OKC","23:12","23:06","185","181","-6","23:00","6","0","0","0","0","0"
"G4","01/10/2019","0341","303NV","MFR","16:34","16:26","113","108","-8","16:19","7","0","0","0","0","0"
"G4","01/10/2019","0355","336NV","MEM","15:54","15:41","242","233","-13","15:34","7","0","0","0","0","0"
"G4","01/10/2019","0702","314NV","BLI","10:50","10:54","170","165","4","10:40","14","0","0","0","0","0"
"G4","01/10/2019","1360","227NV","CVG","09:02","08:49","302","294","-13","08:37","12","0","0","0","0","0"
"G4","01/11/2019","0190","336NV","EUG","21:48","21:44","124","124","-4","21:35","9","0","0","0","0","0"
"G4","01/11/2019","0335","303NV","TUL","14:38","14:22","209","193","-16","14:15","7","0","0","0","0","0"
"G4","01/11/2019","0339","303NV","BOI","20:12","20:03","127","129","-9","19:54","9","0","0","0","0","0"
"G4","01/11/2019","0345","336NV","PVU","16:04","15:43","113","100","-21","15:33","10","0","0","0","0","0"
"G4","01/11/2019","1360","227NV","CVG","09:32","09:16","302","286","-16","09:03","13","0","0","0","0","0"
"G4","01/12/2019","0319","303NV","SGF","19:50","19:55","216","213","5","19:51","4","0","0","0","0","0"
"G4","01/12/2019","0361","303NV","MTJ","11:38","11:35","123","124","-3","11:27","8","0","0","0","0","0"
"G4","01/13/2019","0303","336NV","OKC","23:12","23:59","185","188","47","23:49","10","3","0","3","0","41"
"G4","01/13/2019","0341","336NV","MFR","16:34","16:30","113","119","-4","16:20","10","0","0","0","0","0"
"G4","01/13/2019","0355","333NV","MEM","15:54","21:15","242","263","321","21:06","9","34","0","21","0","266"
"G4","01/13/2019","0702","302NV","BLI","19:02","18:43","170","163","-19","18:38","5","0","0","0","0","0"
"G4","01/13/2019","1360","241NV","CVG","09:02","09:54","302","328","52","09:43","11","0","0","52","0","0"
"G4","01/14/2019","0190","333NV","EUG","22:48","22:54","124","132","6","22:34","20","0","0","0","0","0"
"G4","01/14/2019","0335","336NV","TUL","14:38","14:49","209","222","11","14:37","12","0","0","0","0","0"
"G4","01/14/2019","0339","336NV","BOI","20:27","23:48","127","169","201","22:55","53","0","0","42","0","159"
"G4","01/14/2019","0345","333NV","PVU","17:04","16:54","113","114","-10","16:44","10","0","0","0","0","0"
"G4","01/14/2019","1360","227NV","CVG","09:32","09:38","302","313","6","09:27","11","0","0","0","0","0"
"G4","01/16/2019","0361","336NV","MTJ","12:38","12:33","123","129","-5","12:23","10","0","0","0","0","0"
